year;Permanent_Tournament_Number;Round_Number;fullart_bing_positive;fullart_bing_negative;fullart_bing_sentiment;fullart_afinn_positive;fullart_afinn_negative;fullart_afinn_sentiment;fullart_nrc_positive;fullart_nrc_negative;fullart_nrc_sentiment;resp_bing_positive;resp_bing_negative;resp_bing_sentiment;resp_afinn_positive;resp_afinn_negative;resp_afinn_sentiment;resp_nrc_positive;resp_nrc_negative;resp_nrc_sentiment;quest_bing_positive;quest_bing_negative;quest_bing_sentiment;quest_afinn_positive;quest_afinn_negative;quest_afinn_sentiment;quest_nrc_positive;quest_nrc_negative;quest_nrc_sentiment;sentimentr_fullart;sentimentr_resp;sentimentr_quest;Link;Tour;Tournament_Order;Course_Number;Player_Number;Player_Name;Event_Name;Course_Name;Interview_Text;Response_Negative;Response_Positive;Response_Sentiment;Round_Score;End_of_Round_Pos_numeric_;Total_Holes_Over_Par;Birdies;Birdies_Rank;Bogey_Avoidance_Rank;Driving_Distance_Rank;Driving_Accuracy_Rank;GIR_Rank;Scrambling_Rank;Distance_to_leader_strokes;Distance_to_leader_ranks;Ranks_gained;Strokes_gained_v_a_v_Leader;Distance_to_runner_up_strokes_;Strokes_gained_v_a_v_Runner_up;Minor_Injury;Major_injury_surgery;Personal_issues;Major;Prize_Money;SoF;OWGR;Number_Of_Answers
1999;16;3;63;27;36;134;56;78;80;59;21;5;3;2;15;4;11;11;4;7;58;24;34;119;52;67;69;55;14;0.082219032;0.197203549;-0.114984517;http://www.asapsports.com/show_interview.php?id=16071;R;10;656;8793;Woods, Tiger;Mercedes Championships;The Plantation Course;NA;3;5;2;67;4;0;6;1;1;1;28;1;1;7;3;-8;-1;NA;NA;0;0;0;0;2562430;366;1;30
2000;9;0;106;10;96;202;11;191;92;18;74;5;3;2;11;5;6;1;2;-1;101;7;94;191;6;185;91;16;75;0.238072491;0.040965024;0.197107467;http://www.asapsports.com/show_interview.php?id=15927;R;120;9;8793;Woods, Tiger;Bay Hill Invitational;Bay Hill Club & Lodge;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8
2000;9;1;50;6;44;102;10;92;32;12;20;15;0;15;27;0;27;10;0;10;35;6;29;75;10;65;22;12;10;0.253901274;0.466506287;-0.212605013;http://www.asapsports.com/show_interview.php?id=15926;R;120;9;8793;Woods, Tiger;Bay Hill Invitational;Bay Hill Club & Lodge;NA;0;15;15;69;3;3;6;1;36;46;22;38;29;1;2;NA;NA;NA;NA;0;0;0;0;3045840;564;1;11
2000;9;2;94;28;66;154;28;126;71;47;24;13;2;11;19;2;17;13;4;9;81;26;55;135;26;109;58;43;15;0.125936548;0.248758388;-0.12282184;http://www.asapsports.com/show_interview.php?id=15924;R;120;9;8793;Woods, Tiger;Bay Hill Invitational;Bay Hill Club & Lodge;NA;2;13;11;64;1;1;5;16;16;1;16;6;54;0;0;-2;-1;1;NA;0;0;0;0;3045840;564;1;31
2000;9;3;66;27;39;95;42;53;60;46;14;4;4;0;11;6;5;5;4;1;62;23;39;84;36;48;55;42;13;0.068721383;0.100812522;-0.032091138;http://www.asapsports.com/show_interview.php?id=15923;R;120;9;8793;Woods, Tiger;Bay Hill Invitational;Bay Hill Club & Lodge;NA;4;4;0;67;1;1;6;3;1;2;5;24;4;0;0;0;0;2;1;0;0;0;0;3045840;564;1;15
2000;9;4;204;52;152;395;75;320;135;88;47;27;5;22;44;2;42;15;4;11;177;47;130;351;73;278;120;84;36;0.14878545;0.230569855;-0.081784405;http://www.asapsports.com/show_interview.php?id=15920;R;120;9;8793;Woods, Tiger;Bay Hill Invitational;Bay Hill Club & Lodge;NA;5;27;22;70;1;0;2;38;1;8;23;21;1;0;0;0;0;4;2;0;0;0;0;3045840;564;1;45
2000;11;0;161;60;101;313;47;266;89;60;29;18;5;13;29;7;22;11;2;9;143;55;88;284;40;244;78;58;20;0.125492311;0.205945007;-0.080452695;http://www.asapsports.com/show_interview.php?id=15917;R;130;11;8793;Woods, Tiger;THE PLAYERS Championship;TPC Sawgrass;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42
2000;11;1;56;29;27;106;31;75;42;46;-4;5;4;1;8;4;4;6;6;0;51;25;26;98;27;71;36;40;-4;0.110765579;0.078302496;0.032463083;http://www.asapsports.com/show_interview.php?id=15915;R;130;11;8793;Woods, Tiger;THE PLAYERS Championship;TPC Sawgrass;NA;4;5;1;71;10;3;5;2;9;1;75;1;103;2;9;NA;NA;NA;NA;0;0;0;0;6113400;788;1;14
2000;11;2;144;59;85;278;75;203;101;101;0;21;7;14;29;9;20;10;11;-1;123;52;71;249;66;183;91;90;1;0.063138602;0.115491853;-0.052353251;http://www.asapsports.com/show_interview.php?id=15913;R;130;11;8793;Woods, Tiger;THE PLAYERS Championship;TPC Sawgrass;NA;7;21;14;71;5;3;5;10;21;3;77;16;53;4;4;-5;2;NA;NA;0;0;0;0;6113400;788;1;29
2000;11;3;89;49;40;180;84;96;82;67;15;25;14;11;40;20;20;18;14;4;64;35;29;140;64;76;64;53;11;0.077480344;0.124674442;-0.047194099;http://www.asapsports.com/show_interview.php?id=15911;R;130;11;8793;Woods, Tiger;THE PLAYERS Championship;TPC Sawgrass;NA;14;25;11;66;2;2;6;4;10;14;12;8;44;1;1;-3;-3;NA;NA;0;0;0;0;6113400;788;1;28
