Tour,Tournament_Year,Tournament_Order,Permanent_Tournament_Number,Course_Number,Player_Number,Player_Name,Round_Number,Event_Name,Course_Name,Interview_Text,Number_Of_Answers,Link,Response_Negative,Response_Positive,Response_Sentiment,Round_Score,End_of_Round_Pos_numeric_,Total_Holes_Over_Par,Birdies,Birdies_Rank,Bogey_Avoidance_Rank,Driving_Distance_Rank,Driving_Accuracy_Rank,GIR_Rank,Scrambling_Rank,Distance_to_leader_strokes,Distance_to_leader_ranks,Ranks_gained,Strokes_gained_v_a_v_Leader,Distance_to_runner_up_strokes_,Strokes_gained_v_a_v_Runner_up,Minor_Injury,Major_injury_surgery,Personal_issues,Major,Prize_Money,SoF,OWGR,fullart_bing_positive,fullart_bing_negative,fullart_bing_sentiment,fullart_afinn_positive,fullart_afinn_negative,fullart_afinn_sentiment,fullart_nrc_positive,fullart_nrc_negative,fullart_nrc_sentiment,resp_bing_positive,resp_bing_negative,resp_bing_sentiment,resp_afinn_positive,resp_afinn_negative,resp_afinn_sentiment,resp_nrc_positive,resp_nrc_negative,resp_nrc_sentiment,quest_bing_positive,quest_bing_negative,quest_bing_sentiment,quest_afinn_positive,quest_afinn_negative,quest_afinn_sentiment,quest_nrc_positive,quest_nrc_negative,quest_nrc_sentiment,sentimentr_fullart,sentimentr_resp,sentimentr_quest
R,2006,440,473,726,8793,"Woods, Tiger",3,World Golf Championships-American Express Championship,The Grove,NA,23,http://www.asapsports.com/show_interview.php?id=38924,1,21,20,67,1,1,3,28,4,4,8,1,NA,0,0,0,0,6,1,0,0,0,0,7309500,608,1,68,21,47,137,27,110,44,32,12,21,1,20,32,-0,32,14,1,13,47,20,27,105,27,78,30,31,-1,0.15848127034404522,0.3278201895016002,-0.16933891915755497
R,2006,440,473,726,8793,"Woods, Tiger",4,World Golf Championships-American Express Championship,The Grove,NA,33,http://www.asapsports.com/show_interview.php?id=38929,3,18,15,67,1,1,5,6,1,2,1,1,59,0,0,0,0,8,2,0,0,0,0,7309500,608,1,94,15,79,222,32,190,60,25,35,18,3,15,40,4,36,15,2,13,76,12,64,182,28,154,45,23,22,0.18610082365514374,0.16464740345686718,0.021453420198276563
R,2006,370,476,36,8793,"Woods, Tiger",1,World Golf Championships-Bridgestone Invitational,Firestone CC (South),NA,17,http://www.asapsports.com/show_interview.php?id=36643,3,14,11,67,4,2,5,4,3,5,10,4,35,4,3,NA,NA,NA,NA,0,0,0,0,7409250,718,1,34,15,19,63,3,60,24,18,6,14,3,11,20,1,19,4,3,1,20,12,8,43,2,41,20,15,5,0.048528896560043985,0.16686106733820258,-0.1183321707781586
R,2006,370,476,36,8793,"Woods, Tiger",2,World Golf Championships-Bridgestone Invitational,Firestone CC (South),NA,57,http://www.asapsports.com/show_interview.php?id=36647,7,27,20,64,1,1,7,1,1,6,24,2,21,0,0,-3,-4,1,NA,0,0,0,0,7409250,718,1,88,29,59,163,28,135,72,53,19,27,7,20,57,5,52,28,12,16,61,22,39,106,23,83,44,41,3,0.09377929842902004,0.16976934858538367,-0.07599005015636363
R,2006,370,476,36,8793,"Woods, Tiger",3,World Golf Championships-Bridgestone Invitational,Firestone CC (South),NA,20,http://www.asapsports.com/show_interview.php?id=36653,3,13,10,71,2,4,3,34,45,7,43,69,19,1,1,1,1,NA,NA,0,0,0,0,7409250,718,1,56,16,40,106,30,76,45,28,17,13,3,10,31,10,21,10,10,0,43,13,30,75,20,55,35,18,17,0.04739121077524735,0.14042257537504788,-0.09303136459980052
R,2006,370,476,36,8793,"Woods, Tiger",4,World Golf Championships-Bridgestone Invitational,Firestone CC (South),NA,40,http://www.asapsports.com/show_interview.php?id=36659,3,31,28,68,1,2,4,8,5,33,50,6,33,0,0,-1,-1,0,NA,0,0,0,0,7409250,718,1,155,38,117,315,72,243,115,61,54,31,3,28,58,6,52,26,5,21,124,35,89,257,66,191,89,56,33,0.14800184215387333,0.20322861765453934,-0.055226775500666014
R,2006,380,505,700,8793,"Woods, Tiger",1,Deutsche Bank Championship,TPC Boston,NA,22,http://www.asapsports.com/show_interview.php?id=36562,3,14,11,66,1,1,6,1,1,10,129,35,13,0,0,NA,NA,1,NA,0,0,0,0,5603950.000000001,251,1,62,21,41,127,29,98,38,30,8,14,3,11,29,1,28,7,5,2,48,18,30,98,28,70,31,25,6,0.112470798777877,0.13090223651524382,-0.01843143773736683
R,2006,380,505,700,8793,"Woods, Tiger",2,Deutsche Bank Championship,TPC Boston,NA,25,http://www.asapsports.com/show_interview.php?id=36572,7,17,10,72,3,3,2,73,30,42,127,128,35,2,2,2,2,NA,NA,0,0,0,0,5603950.000000001,251,1,73,36,37,165,51,114,66,57,9,17,7,10,23,10,13,8,11,-3,56,29,27,142,41,101,58,46,12,-0.009754520989175784,0.07430506463195662,-0.0840595856211324
R,2006,380,505,700,8793,"Woods, Tiger",3,Deutsche Bank Championship,TPC Boston,NA,15,http://www.asapsports.com/show_interview.php?id=36578,3,15,12,67,2,0,4,13,1,38,28,1,1,3,1,-1,1,NA,NA,0,0,0,0,5603950.000000001,251,1,52,17,35,101,24,77,29,21,8,15,3,12,24,3,21,9,1,8,37,14,23,77,21,56,20,20,0,0.10131420380663031,0.1671309938571901,-0.06581679005055979
R,2006,380,505,700,8793,"Woods, Tiger",4,Deutsche Bank Championship,TPC Boston,NA,49,http://www.asapsports.com/show_interview.php?id=36582,7,37,30,63,1,0,4,10,1,3,55,1,1,0,0,-1,-3,2,NA,0,0,0,0,5603950.000000001,251,1,258,70,188,496,89,407,177,111,66,37,7,30,60,14,46,14,11,3,221,63,158,436,75,361,163,100,63,0.14172033505293963,0.33271656285956913,-0.1909962278066295
